DoorSizeID,Size,Description, UnitSell ,DateEntered,Height,Width,Thickness,ThicknessType
34,984 x 2097,"Door, Assembly, 2097 x 984mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg"," $6,328.30 ",10/12/2023,984, 2097,37,Standard
35,984 x 2177,"Door, Assembly, 2177 x 984mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg"," $6,328.30 ",10/12/2023,984, 2177,37,Standard
36,984 x 2397,"Door, Assembly, 2397 x 984mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg"," $6,648.74 ",10/12/2023,984, 2397,37,Standard
37,1034 x 2097,"Door, Assembly, 2097 x 1034mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg"," $6,328.30 ",10/12/2023,103, 2097,37,Standard
38,1034 x 2177,"Door, Assembly, 2177 x 1034mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg"," $6,328.30 ",10/12/2023,103, 2177,37,Standard
39,1034 x 2397,"Door, Assembly, 2397 x 1034mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg"," $6,648.74 ",10/12/2023,103, 2397,37,Standard
40,1134 x 2097,"Door, Assembly, 2097 x 1134mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg"," $6,328.30 ",10/12/2023,113, 2097,37,Standard
41,1134 x 2177,"Door, Assembly, 2177 x 1134mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg"," $6,328.30 ",10/12/2023,113, 2177,37,Standard
42,1134 x 2397,"Door, Assembly, 2397 x 1134mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg"," $6,648.74 ",10/12/2023,113, 2397,37,Standard
43,1314 x 2097,"Door, Assembly, 2097 x 1314mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg"," $6,648.74 ",10/12/2023,131, 2097,37,Standard
44,1314 x 2177,"Door, Assembly, 2177 x 1314mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg"," $6,648.74 ",10/12/2023,131, 2177,37,Standard
45,1314 x 2397,"Door, Assembly, 2397 x 1314mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg"," $6,648.74 ",10/12/2023,131, 2397,37,Standard
46,1400 x 2097,"Door, Assembly, 2097 x 1400mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg"," $6,648.74 ",10/12/2023,140, 2097,37,Standard
47,1400 x 2177,"Door, Assembly, 2177 x 1400mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg"," $6,648.74 ",10/12/2023,140, 2177,37,Standard
48,1400 x 2397,"Door, Assembly, 2397 x 1400mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg"," $6,648.74 ",10/12/2023,140, 2397,37,Standard
